keyword,frequency,year
重庆市,4359.12,2010
重庆市,3448.77,2009
重庆市,3057.78,2008
重庆市,2368.53,2007
四川省,13448.92,2016
四川省,13248.08,2015
四川省,13962.41,2014
四川省,13472.05,2013
四川省,12333.28,2012
四川省,11029.13,2011
四川省,8672.18,2010
四川省,6711.87,2009
四川省,5823.39,2008
四川省,4648.79,2007
贵州省,4669.53,2016
贵州省,4147.83,2015
贵州省,3857.44,2014
贵州省,3276.24,2013
贵州省,2677.54,2012
贵州省,2194.33,2011
贵州省,1800.06,2010
贵州省,1476.62,2009
贵州省,1370.03,2008
贵州省,1124.79,2007
云南省,5690.16,2016
云南省,5416.12,2015
云南省,5281.82,2014
云南省,4939.21,2013
云南省,4419.2,2012
云南省,3780.32,2011
云南省,3223.49,2010
云南省,2582.53,2009
云南省,2452.75,2008
云南省,2038.39,2007
西藏自治区,429.17,2016
西藏自治区,376.19,2015
西藏自治区,336.84,2014
西藏自治区,292.92,2013
西藏自治区,242.85,2012
西藏自治区,208.79,2011
西藏自治区,163.92,2010
西藏自治区,136.63,2009
西藏自治区,115.56,2008
西藏自治区,98.48,2007
陕西省,9490.72,2016
陕西省,9082.13,2015
陕西省,9577.24,2014
陕西省,8912.34,2013
陕西省,8073.87,2012
陕西省,6935.59,2011
陕西省,5446.1,2010
陕西省,4236.42,2009
陕西省,3861.12,2008
陕西省,2986.46,2007
甘肃省,2515.56,2016
甘肃省,2494.77,2015
甘肃省,2926.45,2014
甘肃省,2745.35,2013
甘肃省,2600.09,2012
甘肃省,2377.83,2011
甘肃省,1984.97,2010
甘肃省,1527.24,2009
甘肃省,1470.34,2008
甘肃省,1279.32,2007
青海省,1249.98,2016
青海省,1207.31,2015
青海省,1234.31,2014
青海省,1151.28,2013
青海省,1092.34,2012
青海省,975.18,2011
青海省,744.63,2010
青海省,575.33,2009
青海省,557.12,2008
青海省,419.03,2007
宁夏回族自治区,1488.44,2016
宁夏回族自治区,1379.6,2015
宁夏回族自治区,1341.24,2014
宁夏回族自治区,1259.59,2013
宁夏回族自治区,1159.37,2012
宁夏回族自治区,1056.15,2011
宁夏回族自治区,827.91,2010
宁夏回族自治区,662.32,2009
宁夏回族自治区,609.98,2008
宁夏回族自治区,455.04,2007
新疆维吾尔自治区,3647.01,2016
新疆维吾尔自治区,3596.4,2015
新疆维吾尔自治区,3948.96,2014
新疆维吾尔自治区,3574.88,2013
新疆维吾尔自治区,3481.56,2012
新疆维吾尔自治区,3225.9,2011
新疆维吾尔自治区,2592.15,2010
新疆维吾尔自治区,1929.59,2009
新疆维吾尔自治区,2070.76,2008
新疆维吾尔自治区,1647.55,2007
