keyword,frequency,year
重庆市,3623.81,2011
重庆市,2881.08,2010
重庆市,2474.44,2009
重庆市,2160.48,2008
重庆市,1825.21,2007
四川省,15556.29,2016
四川省,13127.72,2015
四川省,11043.2,2014
四川省,9551.36,2013
四川省,8242.31,2012
四川省,7014.04,2011
四川省,6030.41,2010
四川省,5198.8,2009
四川省,4561.69,2008
四川省,3881.6,2007
贵州省,5261.01,2016
贵州省,4714.12,2015
贵州省,4128.5,2014
贵州省,3812.15,2013
贵州省,3282.75,2012
贵州省,2781.29,2011
贵州省,2177.07,2010
贵州省,1885.79,2009
贵州省,1652.34,2008
贵州省,1312.94,2007
云南省,6903.15,2016
云南省,6147.27,2015
云南省,5542.7,2014
云南省,5032.3,2013
云南省,4235.72,2012
云南省,3701.79,2011
云南省,2892.31,2010
云南省,2519.62,2009
云南省,2218.81,2008
云南省,1896.78,2007
西藏自治区,606.46,2016
西藏自治区,552.16,2015
西藏自治区,492.35,2014
西藏自治区,438.07,2013
西藏自治区,377.8,2012
西藏自治区,322.57,2011
西藏自治区,274.82,2010
西藏自治区,240.85,2009
西藏自治区,218.67,2008
西藏自治区,188.06,2007
陕西省,8215.02,2016
陕西省,7342.1,2015
陕西省,6547.76,2014
陕西省,5832.14,2013
陕西省,5009.65,2012
陕西省,4355.81,2011
陕西省,3688.93,2010
陕西省,3143.74,2009
陕西省,2699.74,2008
陕西省,2178.2,2007
甘肃省,3701.42,2016
甘肃省,3341.46,2015
甘肃省,3009.61,2014
甘肃省,2740.65,2013
甘肃省,2269.61,2012
甘肃省,1963.79,2011
甘肃省,1536.5,2010
甘肃省,1363.27,2009
甘肃省,1234.21,2008
甘肃省,1037.11,2007
青海省,1101.32,2016
青海省,1000.81,2015
青海省,853.08,2014
青海省,766.06,2013
青海省,624.29,2012
青海省,540.18,2011
青海省,470.88,2010
青海省,398.54,2009
青海省,355.93,2008
青海省,294.91,2007
宁夏回族自治区,1438.55,2016
宁夏回族自治区,1294.41,2015
宁夏回族自治区,1193.87,2014
宁夏回族自治区,1107.17,2013
宁夏回族自治区,982.52,2012
宁夏回族自治区,861.92,2011
宁夏回族自治区,702.45,2010
宁夏回族自治区,563.74,2009
宁夏回族自治区,475,2008
宁夏回族自治区,366.18,2007
新疆维吾尔自治区,4353.72,2016
新疆维吾尔自治区,4169.32,2015
新疆维吾尔自治区,3785.9,2014
新疆维吾尔自治区,3434.13,2013
新疆维吾尔自治区,2703.18,2012
新疆维吾尔自治区,2245.12,2011
新疆维吾尔自治区,1766.69,2010
新疆维吾尔自治区,1587.72,2009
新疆维吾尔自治区,1421.38,2008
新疆维吾尔自治区,1246.89,2007
